feature,layer,responses,onset_minus_pre,paired_dz,expected_direction,direction_supported
grounding_interval_width,12,222,-0.0013094337002651111,-0.037348942025621834,1,False
grounding_interval_width,13,222,-0.006529327784035657,-0.09620969191313057,1,False
grounding_interval_width,14,222,0.002327968475517926,0.0410420922481329,1,True
grounding_interval_width,15,222,0.004164009749352395,0.09738719464739096,1,True
grounding_interval_width,16,222,-0.00249415226616301,-0.07124610447523981,1,False
grounding_interval_width,17,222,-0.0004215634486696742,-0.012125435413595642,1,False
grounding_interval_width,18,222,-0.0002526322060877138,-0.0072114478969391846,1,False
grounding_interval_width,19,222,-0.006763429322221258,-0.27370586183843076,1,False
grounding_interval_width,20,222,-0.008706181704461037,-0.2510443952287634,1,False
grounding_interval_width,21,222,0.0007744519425942017,0.021687601582148296,1,True
grounding_interval_width,22,222,0.001243105812652691,0.03441115704529576,1,True
grounding_interval_width,23,222,-0.00046862769234287845,-0.018218081593762373,1,False
grounding_interval_width,24,222,-0.0034462137332370688,-0.1884527512802322,1,False
grounding_interval_width,25,222,-0.000822652617956067,-0.0657467416498549,1,False
