representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,10,1e-06,576,288,576,288,6,True,24,18.924671719787604,34.25408573093446,45.853128486139184,-11.599042755204735,-68.75486847155283,-91.84554139054609,0.04638903432056876,0.4260592557731643,0.0,1.2446632318738247e-34,0.9999788379600877,0.43497721354166663,4.527753742137316e-50,0.0,0.0
provenance,Data2txt,0,10,0.0001,576,288,576,288,6,True,23,22.67849612361034,22.16099347148047,32.06345167357913,-9.902458202098664,-44.60704521527178,-64.2690423960168,0.05922649333212826,0.5219814483378556,0.0,6.473640710909352e-35,0.999999787804579,0.3575575086805556,1.8271162721893003e-33,0.0,0.0
provenance,Data2txt,0,10,0.001,576,288,576,288,6,True,25,28.038451598247647,16.706549416876108,25.298029132359513,-8.591479715483407,-33.74900729483833,-50.74724936107294,0.0688772017790855,0.6085644300713593,0.0,1.4338907605150593e-32,0.999999978255819,0.3134765625,1.198320909222116e-25,0.024305555555555556,0.03819444444444445
provenance,Data2txt,0,11,1e-06,576,288,576,288,6,True,23,17.336668259984506,34.058356148358506,45.71991115747114,-11.661555009112632,-68.38562637486406,-91.64371037105505,0.05964601927453479,0.5330237038820356,0.06666666666666667,0.006608724572143276,0.9999686756853234,0.44620768229166663,8.406126480351754e-53,0.0,0.0
provenance,Data2txt,0,11,0.0001,576,288,576,288,6,True,21,20.666086322971175,21.945214558372143,31.914693129039254,-9.969478570667114,-44.19989116181346,-64.03431397521601,0.06666030421512918,0.6064936081597008,0.06666666666666667,0.006608724572143262,0.9999996856798455,0.360107421875,5.947074144724043e-34,0.0,0.0
provenance,Data2txt,0,11,0.001,576,288,576,288,6,True,25,25.191807402020835,16.46598441787037,25.092442530642757,-8.626458112772383,-33.29076456931615,-50.39705289081696,0.07212455172863189,0.6731260400163309,0.06666666666666667,0.006608724572143269,0.9999999675854804,0.30712890625,1.2910065988502668e-24,0.0,0.003472222222222222
provenance,Data2txt,0,12,1e-06,576,288,576,288,6,True,23,14.173097675146192,33.45750106738027,44.93746174045212,-11.47996067307185,-67.123963415339,-90.02545244370387,0.05209250299451295,0.43391763825369034,0.0,5.447436265846779e-35,0.9999838856177834,0.4801703559027778,1.3677572411305009e-61,0.0,0.0
provenance,Data2txt,0,12,0.0001,576,288,576,288,6,True,25,16.682562992708288,21.3112396394943,31.129318018864613,-9.818078379370313,-42.853383710897646,-62.40924838373277,0.06809837832029988,0.513271446822757,0.0,4.1706836373537567e-35,0.9999998384730288,0.4110243055555556,1.5902560573501067e-44,0.0,0.017361111111111112
provenance,Data2txt,0,12,0.001,576,288,576,288,6,True,26,19.99833810537142,15.800190517740694,24.28720999205755,-8.487019474316858,-31.857575432962335,-48.725588548049636,0.08126121995776452,0.5863042292916653,0.0,3.363141351314938e-31,0.999999983497767,0.3319227430555556,8.840437630799186e-29,0.03125,0.03125
provenance,Data2txt,0,13,1e-06,576,288,576,288,6,True,26,21.18940297396195,34.05160744514642,46.51779265300666,-12.466185207860242,-68.43964436517706,-93.2614329228216,0.055630012866216785,0.4573281370692789,0.0,7.381965686784822e-35,0.9999784112657262,0.43896484375,4.963700820150925e-51,0.0,0.0
provenance,Data2txt,0,13,0.0001,576,288,576,288,6,True,28,25.33350728890449,21.984446087310978,32.71247331142495,-10.728027224113974,-44.34454354800142,-65.65023919225112,0.0669059601225612,0.5457972972387438,0.0,3.105819875113392e-33,0.999999783571863,0.363525390625,1.302354243780012e-34,0.0,0.0
provenance,Data2txt,0,13,0.001,576,288,576,288,6,True,26,30.927172941952108,16.56436007904223,25.88968815169283,-9.325328072650597,-33.5510307874884,-52.000036027007354,0.07583749935111224,0.6241409031861708,0.0,1.0413564373014312e-31,0.9999999778639996,0.305908203125,2.026806432480515e-24,0.03125,0.03125
