representation,task,causal_position_bucket,layer,pseudocount,fit_rows_seen,validation_rows_seen,fit_rows,validation_rows,components,dirichlet_converged,dirichlet_iterations,dirichlet_concentration,dirichlet_average_log_likelihood,logistic_normal_average_log_likelihood,dirichlet_minus_logistic_normal_nats,dirichlet_train_aic_per_row,logistic_normal_train_aic_per_row,mean_l1_error,covariance_relative_frobenius_error,positive_offdiagonal_covariance_fraction,positive_offdiagonal_covariance_mass_ratio,moment_concentration_coefficient_of_variation,nll_pit_ks_statistic,nll_pit_ks_pvalue,nll_tail_probability_below_001_fraction,nll_tail_probability_below_005_fraction
provenance,Data2txt,0,12,0.001,576,288,128,128,6,True,26,21.649560006830956,15.604346908061618,24.228384292147208,-8.624037384085591,-31.967367930066345,-48.519461412952474,0.12035306744390509,0.6683544862450196,0.0,8.446326295578086e-35,0.9999999847089569,0.35546875,5.601551930573579e-15,0.0390625,0.0390625
provenance,Data2txt,0,13,1e-06,576,288,128,128,6,True,24,22.60599550757114,34.115241330989505,46.68601105174207,-12.570769720752565,-68.48064629485421,-93.28740311290326,0.057202714936063916,0.4745441288129269,0.0,1.0792590019608047e-35,0.999978047647216,0.4921875,3.9093247371776895e-29,0.0,0.0
provenance,Data2txt,0,13,0.0001,576,288,128,128,6,True,29,27.068208908175233,22.05265541616077,32.87984671235214,-10.827191296191366,-44.41576170643344,-65.67537451182821,0.06796176621605099,0.5589806235409325,0.0,3.632882015693045e-36,0.9999997799459655,0.375,1.130724758563229e-16,0.0,0.0234375
provenance,Data2txt,0,13,0.001,576,288,128,128,6,True,27,33.082714943889286,16.636590317728285,26.050188738164152,-9.413598420435868,-33.6614680344931,-52.02034933735213,0.07647956859352907,0.6342050088209239,0.0,3.4961766401076865e-34,0.9999999775110602,0.3046875,4.827787419674662e-11,0.0390625,0.0390625
provenance,Data2txt,0,14,1e-06,576,288,128,128,6,True,23,15.314573898126698,33.71492803558975,44.87710783780255,-11.162179802212808,-67.38279595424665,-89.53942620627892,0.10122748653214514,0.3981800966473825,0.0,9.494556011670682e-35,0.9999670022392317,0.50390625,1.2968021329576814e-30,0.0,0.0
provenance,Data2txt,0,14,0.0001,576,288,128,128,6,True,20,18.09750458388162,21.603521832563597,31.07236837004131,-9.468846537477711,-43.14594301721176,-61.929066933501524,0.10871946322323892,0.4793205804105228,0.0,3.886050319625556e-33,0.9999996691368731,0.4296875,5.55074371993741e-22,0.0,0.0
provenance,Data2txt,0,14,0.001,576,288,128,128,6,True,25,21.895591969504995,16.139411192255736,24.257639640317993,-8.118228448062252,-32.19968529827819,-48.29357335752499,0.11412721781355756,0.5597687043954509,0.0,3.1463883349585145e-32,0.9999999661076415,0.34375,5.202843089038079e-14,0.0,0.0
provenance,Data2txt,0,15,1e-06,576,288,128,128,6,True,24,12.25218952525399,34.08757295453431,45.018566762411055,-10.930993807876755,-68.25785845053454,-89.70446319985265,0.06859004600333402,0.475711378358724,0.06666666666666667,0.06344479683067776,0.999985209308325,0.4296875,5.55074371993741e-22,0.0,0.0
provenance,Data2txt,0,15,0.0001,576,288,128,128,6,True,24,14.661349057002635,21.87489248442132,31.24978429836274,-9.374891813941424,-43.89995613709202,-62.1723706254441,0.0858526754037629,0.5619092811738606,0.06666666666666667,0.06344479683067782,0.9999998516947407,0.359375,2.615412053009669e-15,0.0,0.0
provenance,Data2txt,0,15,0.001,576,288,128,128,6,True,26,18.36246401089981,16.23664107436734,24.527041126862848,-8.290400052495503,-32.729683747908226,-48.77490705408282,0.09727390356688548,0.6439654255523811,0.06666666666666667,0.06344479683067777,0.9999999848056038,0.3125,1.3232765413914088e-11,0.0078125,0.0234375
provenance,Data2txt,0,16,1e-06,576,288,128,128,6,True,24,17.15137328164524,34.000996938965734,45.40737035516273,-11.406373416197006,-69.01946650995266,-91.3337171118535,0.06578554368381956,0.756633751530569,0.0,2.2968956940104742e-35,0.9999843990920844,0.37890625,5.0342822933606634e-17,0.0,0.0
provenance,Data2txt,0,16,0.0001,576,288,128,128,6,True,22,20.615974783188538,21.807073402691373,31.62583850254808,-9.818765099856707,-44.81897105608212,-63.76688480483821,0.07171100811159264,0.7904372959215938,0.0,6.703230895919813e-33,0.9999998435872952,0.390625,4.1923923769686e-18,0.015625,0.046875
provenance,Data2txt,0,16,0.001,576,288,128,128,6,True,25,25.68199170466318,16.206171860787634,24.886357194747575,-8.680185333959944,-33.85551852300997,-50.30247020602877,0.07962364454877931,0.822438848468027,0.0,6.501580248430875e-33,0.9999999839904062,0.34375,5.202843089038079e-14,0.0546875,0.0546875
provenance,Data2txt,0,17,1e-06,576,288,128,128,6,True,24,19.668861520052687,34.42024956717576,46.10623653038573,-11.685986963209976,-69.18503024450878,-92.29625475002406,0.04761327480430029,0.46734810380948505,0.06666666666666667,0.01333947060367926,0.9999783815154996,0.42578125,1.4189253022669924e-21,0.0,0.0
provenance,Data2txt,0,17,0.0001,576,288,128,128,6,True,21,23.665419500280116,22.321848065346202,32.309068721404586,-9.987220656058376,-45.05130725609952,-64.69716249066127,0.06004263371252912,0.5592783132955135,0.06666666666666667,0.013339470603679262,0.9999997831826695,0.34765625,2.4982790013842228e-14,0.0,0.0
provenance,Data2txt,0,17,0.001,576,288,128,128,6,True,25,29.370293705186903,16.850845064510477,25.517394368295324,-8.666549303784851,-34.186755343952754,-51.08938832198151,0.06933238584532173,0.6413068302658267,0.06666666666666667,0.01333947060367927,0.9999999777408629,0.28125,1.895287375668482e-09,0.0,0.0234375
provenance,Data2txt,0,18,1e-06,576,288,128,128,6,True,24,16.65905365491672,35.2307070162784,46.228655511531414,-10.997948495252999,-69.90983932541086,-91.85410635277637,0.050004516735625136,0.3947209443696489,0.0,1.6148753320135528e-34,0.9999741641585873,0.484375,3.5744265926567454e-28,0.0,0.0
provenance,Data2txt,0,18,0.0001,576,288,128,128,6,True,24,20.22599387296557,23.15760830277219,32.469789878501324,-9.312181575729134,-45.67114956024395,-64.34045722703019,0.060260211790290445,0.5040106913850405,0.0,1.1671349577702849e-32,0.9999997405121811,0.38671875,9.694174955308428e-18,0.0,0.0
