model,population,tokens,positives,negatives,auroc,ap,tp,fp,fn,tn,recall,fpr
layer_mean,answer_first,28364,52,28312,0.6482070663159953,0.0030619081692306264,3,1004,49,27308,0.057692307692307696,0.03546199491381746
layer_mean,continuation,30535,2223,28312,0.698314406007629,0.19362488005450848,393,1004,1830,27308,0.1767881241565452,0.03546199491381746
layer_mean,previous_normal,28173,78,28095,0.6796583021890017,0.005181339185458814,7,1001,71,27094,0.08974358974358974,0.035629115500978824
layer_mean,previous_error,2297,2228,69,0.6762873051804439,0.9851412134270263,394,3,1834,66,0.17684021543985637,0.043478260869565216
head_contrast,all,30619,2307,28312,0.8413577336834847,0.42625638696854806,747,620,1560,27692,0.3237971391417425,0.02189884148064425
head_contrast,answer_first,28364,52,28312,0.7197532440715543,0.005541414412017853,5,620,47,27692,0.09615384615384616,0.02189884148064425
head_contrast,continuation,30535,2223,28312,0.8438380118103055,0.42602556106129374,737,620,1486,27692,0.3315339631129105,0.02189884148064425
head_contrast,previous_normal,28173,78,28095,0.7756572252567981,0.012042813914682276,10,617,68,27478,0.1282051282051282,0.02196120306104289
head_contrast,previous_error,2297,2228,69,0.753902895948794,0.9892390410345807,737,3,1491,66,0.33078994614003593,0.043478260869565216
unordered_heads,all,30619,2307,28312,0.8002951629578541,0.32876689679479076,661,822,1646,27490,0.28651928912006935,0.02903362531788641
unordered_heads,answer_first,28364,52,28312,0.6401865476992632,0.004570042368602802,6,822,46,27490,0.11538461538461539,0.02903362531788641
unordered_heads,continuation,30535,2223,28312,0.8038052816015666,0.32755380432981074,648,822,1575,27490,0.291497975708502,0.02903362531788641
unordered_heads,previous_normal,28173,78,28095,0.7076384610821344,0.008434536617203503,12,822,66,27273,0.15384615384615385,0.029257875066737854
unordered_heads,previous_error,2297,2228,69,0.7496292248848646,0.9897822929211975,649,0,1579,69,0.29129263913824055,0.0
matched_support,all,30619,2307,28312,0.8348858370895464,0.38989571241765236,684,703,1623,27609,0.2964889466840052,0.024830460582085333
matched_support,answer_first,28364,52,28312,0.6950878398939291,0.004246734418403063,5,703,47,27609,0.09615384615384616,0.024830460582085333
matched_support,continuation,30535,2223,28312,0.8379041321832923,0.39014311871787155,675,703,1548,27609,0.30364372469635625,0.024830460582085333
matched_support,previous_normal,28173,78,28095,0.7535563860710685,0.008943705216067554,9,700,69,27395,0.11538461538461539,0.024915465385299877
matched_support,previous_error,2297,2228,69,0.7550347357739442,0.9896238575484622,675,3,1553,66,0.30296229802513464,0.043478260869565216
balanced_context,all,30619,2307,28312,0.767431268986988,0.2409670331632075,479,970,1828,27342,0.20762895535327264,0.034261090703588584
balanced_context,answer_first,28364,52,28312,0.7815855467646228,0.007237406608475707,10,970,42,27342,0.19230769230769232,0.034261090703588584
balanced_context,continuation,30535,2223,28312,0.7661938553210247,0.2356491448681284,464,970,1759,27342,0.20872694556905083,0.034261090703588584
balanced_context,previous_normal,28173,78,28095,0.8101888738300911,0.011645448246142746,15,957,63,27138,0.19230769230769232,0.03406300053390283
balanced_context,previous_error,2297,2228,69,0.7471378763042178,0.9876524310607364,464,4,1764,65,0.20825852782764812,0.057971014492753624
part_direct,all,30619,2307,28312,0.7617415110565006,0.28121640968198497,587,928,1720,27384,0.25444299956653665,0.032777620796835265
part_direct,answer_first,28364,52,28312,0.7003594561697133,0.004946062330606495,7,928,45,27384,0.1346153846153846,0.032777620796835265
part_direct,continuation,30535,2223,28312,0.7636026211114327,0.28020694530788215,575,928,1648,27384,0.258659469185785,0.032777620796835265
part_direct,previous_normal,28173,78,28095,0.7199237020913476,0.007118656491398809,12,926,66,27169,0.15384615384615385,0.03295960135255384
